KBDDD02:000199278:mpeg21:a0013	1918	Het nieuws van den dag voor Nederlandsch-Indië	NEDERLANDSCH-INDIË. BATAVIA, 22 November 1918. (Vervolg van het Eerste Blad.) Uit Djokja.	artikel	0.8387096774193549	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000199491:mpeg21:a0006	1918	Het nieuws van den dag voor Nederlandsch-Indië	Besluiten en Benoemingen. CIVIEL DEPARTMENT.	artikel	0.8801169590643275	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000199893:mpeg21:a0013	1927	Voorwaarts	Buitenland Een Poolsch Generaal zoek geraakt Na aankomst te Warschau spoorloos verdwenen.	artikel	0.9394788456150183	nl	11_Nobeast	\N	Landelijk	\N	\N
KBDDD02:000199923:mpeg21:a0056	1927	Voorwaarts	Forrester, vader van den man, dien hij verklaarde later vermoord	artikel	0.7044897959183674	nl	09_Figurative	\N	Landelijk	\N	\N
KBDDD02:000200857:mpeg21:a0059	1927	Voorwaarts	FEUILLETON Der deernen praal en val door Honoré de Balzac.	artikel	0.9440421329822252	nl	09_Figurative	\N	Landelijk	\N	\N
KBDDD02:000200971:mpeg21:a0002	1853	Rotterdamsche courant	BINNENLAND. 's GRAVENHAGE den 25 october.	artikel	0.9445314948292072	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
ddd:010096470:mpeg21:a0015	1837	Journal de La Haye	Advertentie	advertentie	0.6078947368421053	fr	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000200978:mpeg21:a0002	1853	Rotterdamsche courant	BINNENLAND. 's GRAVENHAGE den 3 november.	artikel	0.9542645241038319	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
ddd:110540056:mpeg21:a0092	1896	De Telegraaf	BERICHTEN.	artikel	0.8105263157894737	nl	11_Nobeast	\N	Landelijk	\N	\N
KBDDD02:000201264:mpeg21:a0018	1924	Voorwaarts	Van het Binnenhof. Tweede Kamer. (Vervolg).	artikel	0.9192510239906378	nl	11_Nobeast	\N	Landelijk	\N	\N
KBDDD02:000201938:mpeg21:a0005	1867	Rotterdamsche courant	ROTTERDAM 5 Februarij.	artikel	0.9186822351959967	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000202003:mpeg21:a0006	1867	Rotterdamsche courant	BINNENLAND. STATEN-GENERAAL. TWEEDE KAMER. Zitting van Zaturdag 30 Maart.	artikel	0.9254593175853019	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000202410:mpeg21:a0013	1884	De locomotief	NEDERLANDSCH-INDIE. SLUITDAGEN DER MAIL.	artikel	0.8758639021796917	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000202594:mpeg21:a0009	1884	De locomotief	NEDERLANDSCH-INDIE. SLUITDAGEN DER MAILS	artikel	0.9136184097544221	nl	11_Nobeast	\N	Regionaal/lokaal	\N	\N
KBDDD02:000202680:mpeg21:a0155	1904	Rotterdamsch nieuwsblad	Maandag 9 Mei 1904. Dit Nummer bestaat uit ZES Bladen. Zesde Blad. Stadsnieuws.	artikel	0.8261103633916554	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
